Sno,States,Population,Decadal Population Growth Rate - 2001-2011
1,Andhra Pradesh,49386799,9
2,Arunachal Pradesh,1383727,26
3,Assam,31205576,17.1
4,Bihar,104099452,25.4
5,Chhattisgarh,25545198,22.6
6,Goa,1458545,8.2
7,Gujarat,60439692,19.3
8,Haryana,25351462,19.9
9,Himachal Pradesh,6864602,12.9
10,Jammu & Kashmir,12541302,23.6
11,Jharkhand,32988134,22.4
12,Karnataka,61095297,15.6
13,Kerala,33406061,4.9
14,Madhya Pradesh,72626809,20.3
15,Maharashtra,112374333,16
16,Manipur,2855794,31.8
17,Meghalaya,2966889,27.9
18,Mizoram,1097206,23.5
19,Nagaland,1978502,-0.6
20,Odisha,41974218,14
21,Punjab,27743338,13.9
22,Rajasthan,68548437,21.3
23,Sikkim,610577,12.9
24,Tamil Nadu,72147030,15.6
25,Telangana,35193978,13.6
26,Tripura,3673917,14.8
27,Uttarakhand,10086292,18.8
28,Uttar Pradesh,199812341,20.2
29,West Bengal,91276115,13.8
30,A & N Island,380581,6.9
31,Chandigarh,1055450,17.2
32,Dadra & Nagar Haveli,343709,55.9
33,Daman & Diu,243247,53.8
34,Delhi,16787941,21.2
35,Lakshadweep,64473,6.3
36,Puducherry,1247953,28.1
